source_relative,target_relative,status
1 牛奶中左旋咪唑残留量的测定 高效液相色谱法 .md,GB 29681-2013 食品安全国家标准 牛奶中左旋咪唑残留量的测定 高效液相色谱法.md,ok
10 动物性食品中尼卡巴嗪残留量的测定.md,GB 29690-2013 食品安全国家标准 动物性食品中尼卡巴嗪残留量的测定.md,ok
11 鸡组织中尼卡巴嗪残留量的测定.md,GB 29691-2013 食品安全国家标准 鸡组织中尼卡巴嗪残留量的测定.md,ok
12 牛奶中喹诺酮类药物残留量的测定 高效液相色谱法.md,GB 29692-2013 食品安全国家标准 牛奶中喹诺酮类药物残留量的测定 高效液相色谱法.md,ok
13 动物性食品中常山酮残留检测 高效液相色谱法.md,GB 29693-2013 食品安全国家标准 动物性食品中常山酮残留检测 高效液相色谱法.md,ok
14 动物性食品中13种磺胺类药物多残留的测定 高效液相色谱法.md,GB 29694-2013 食品安全国家标准 动物性食品中13种磺胺类药物多残留的测定 高效液相色谱法.md,ok
15 水产品中阿维菌素和伊维菌素残留检测 高效液相色谱法.md,GB 29695-2013 食品安全国家标准 水产品中阿维菌素和伊维菌素残留检测 高效液相色谱法.md,ok
16 牛奶中阿维菌素类药物残留检测 高效液相色谱法.md,GB 29696-2013 食品安全国家标准 牛奶中阿维菌素类药物残留检测 高效液相色谱法.md,ok
17 动物性食品中地西泮和安眠酮残留量的测定 气相色谱-质谱法.md,GB 29697-2013 食品安全国家标准 动物性食品中地西泮和安眠酮残留量的测定 气相色谱-质谱法.md,ok
18 奶及奶制品中17β－雌二醇、雌三醇、炔雌醇残留量的测定  气相色谱-质谱法.md,GB 29698-2013 食品安全国家标准 奶及奶制品中17β－雌二醇、雌三醇、炔雌醇残留量的测定 气相色谱-质谱法.md,ok
19 鸡肉组织中氯羟吡啶残留量的测定 气相色谱法-质谱法.md,GB 29699-2013 食品安全国家标准 鸡肉组织中氯羟吡啶残留量的测定 气相色谱法-质谱法.md,ok
2 水产品中青霉素类药物残留量的测定 高效液相色谱法.md,GB 29682-2013 食品安全国家标准 水产品中青霉素类药物残留量的测定 高效液相色谱法.md,ok
20 牛奶中氯羟吡啶残留量的测定 气相色谱法-质谱法.md,GB 29700-2013 食品安全国家标准 牛奶中氯羟吡啶残留量的测定 气相色谱法-质谱法.md,ok
21 鸡组织中地克珠利残留量的测定 高效液相色谱法.md,GB 29701-2013 食品安全国家标准 鸡组织中地克珠利残留量的测定 高效液相色谱法.md,ok
22 水产品中甲氧苄啶残留量的测定 高效液相色谱法.md,GB 29702-2013 食品安全国家标准 水产品中甲氧苄啶残留量的测定 高效液相色谱法.md,ok
23 动物性食品中呋喃苯烯酸钠残留量的测定 液相色谱-串联质谱法.md,GB 29703-2013 食品安全国家标准 动物性食品中呋喃苯烯酸钠残留量的测定 液相色谱-串联质谱法.md,ok
24 动物性食品中环丙氨嗪及代谢物三聚氰胺残留量的测定 超高效液相色谱-串联质谱法.md,GB 29704-2013 食品安全国家标准 动物性食品中环丙氨嗪及代谢物三聚氰胺残留量的测定 超高效液相色谱-串联质谱法.md,ok
25 水产品中氯氰菊酯、氰戊菊酯、溴氰菊酯多残留的测定 气相色谱法.md,GB 29705-2013 食品安全国家标准 水产品中氯氰菊酯、氰戊菊酯、溴氰菊酯多残留的测定 气相色谱法.md,ok
26 动物性食品中氨苯砜残留量的测定 液相色谱-串联质谱法.md,GB 29706-2013 食品安全国家标准 动物性食品中氨苯砜残留量的测定 液相色谱-串联质谱法.md,ok
27 牛奶中双甲脒残留标示物残留量的测定 气相色谱法.md,GB 29707-2013 食品安全国家标准 牛奶中双甲脒残留标示物残留量的测定 气相色谱法.md,ok
28 动物性食品中五氯酚钠残留量的测定 气相色谱-质谱法.md,GB 29708-2013 食品安全国家标准 动物性食品中五氯酚钠残留量的测定 气相色谱-质谱法.md,ok
28天经口毒性试验.md,GB 15193.22-2014 食品安全国家标准 28天经口毒性试验.md,ok
29 动物性食品中氮哌酮及其代谢物残留量的测定 高效液相色谱法.md,GB 29709-2013 食品安全国家标准 动物性食品中氮哌酮及其代谢物残留量的测定 高效液相色谱法.md,ok
3 动物性食品中对乙酰氨基酚残留量的测 高效液相色谱法. doc.md,GB 29683-2013 食品安全国家标准 动物性食品中对乙酰氨基酚残留量的测 高效液相色谱法.md,ok
4 水产品中红霉素残留检测 液相色谱-串联质谱法.md,GB 29684-2013 食品安全国家标准 水产品中红霉素残留检测 液相色谱-串联质谱法.md,ok
5 动物性食品中林可霉素、克林霉素和大观霉素多残留的测定 气相色谱—质谱法.md,GB 29685-2013 食品安全国家标准 动物性食品中林可霉素、克林霉素和大观霉素多残留的测定 气相色谱—质谱法.md,ok
6 猪可食性组织中阿维拉霉素残留量的测定 液相色谱-串联质谱法.md,GB 29686-2013 食品安全国家标准 猪可食性组织中阿维拉霉素残留量的测定 液相色谱-串联质谱法.md,ok
7 水产品中阿苯达唑及其代谢物残留量的测定 高效液相色谱法.md,GB 29687-2013 食品安全国家标准 水产品中阿苯达唑及其代谢物残留量的测定 高效液相色谱法.md,ok
8 牛奶中氯霉素残留量的测定.md,GB 29688-2013 食品安全国家标准 牛奶中氯霉素残留量的测定.md,ok
